               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.059598,            0.007494,           0.0019792,             0.70796,             0.75177,             0.76413,             0.26414,            0.064762,           0.0065239,           0.0027471,             0.00505,             0.00505,             0.00505
                  52,             0.05699,           0.0076362,           0.0018592,             0.82151,             0.87952,             0.86525,             0.31091,            0.060562,            0.006624,           0.0027354,            0.004951,            0.004951,            0.004951
                  53,            0.056147,           0.0082082,           0.0017472,             0.72762,             0.81748,             0.74985,             0.30023,            0.058243,           0.0066771,           0.0025707,            0.004852,            0.004852,            0.004852
                  54,            0.056724,           0.0075713,           0.0022925,             0.84131,             0.87922,              0.8686,             0.34021,            0.055621,           0.0064571,           0.0024538,            0.004753,            0.004753,            0.004753
                  55,            0.056623,           0.0073204,           0.0015914,             0.84703,             0.90724,              0.8725,             0.31321,            0.055057,           0.0067031,           0.0024621,            0.004654,            0.004654,            0.004654
                  56,            0.056582,           0.0074252,            0.001895,             0.77694,              0.8218,             0.77399,             0.26215,            0.052057,           0.0067238,           0.0025149,            0.004555,            0.004555,            0.004555
                  57,            0.054935,            0.007847,           0.0019994,             0.82183,             0.87474,             0.85981,             0.33574,            0.056367,           0.0070914,            0.002626,            0.004456,            0.004456,            0.004456
                  58,            0.051443,           0.0069668,           0.0021212,              0.7838,             0.84317,             0.83926,             0.35477,            0.055637,           0.0068232,           0.0027277,            0.004357,            0.004357,            0.004357
                  59,            0.054742,           0.0076589,           0.0015838,             0.74399,             0.82631,             0.79572,             0.28512,            0.056708,            0.006436,           0.0029038,            0.004258,            0.004258,            0.004258
                  60,            0.057197,           0.0071906,           0.0021644,             0.80824,              0.9242,              0.8817,             0.28837,            0.055402,           0.0068438,           0.0026372,            0.004159,            0.004159,            0.004159
                  61,            0.051616,           0.0077589,           0.0017928,              0.7768,             0.90637,             0.88003,             0.31695,            0.054086,           0.0068309,           0.0025317,             0.00406,             0.00406,             0.00406
                  62,            0.054031,           0.0078781,           0.0014712,             0.75383,             0.78606,             0.77861,             0.27282,            0.054639,            0.006488,           0.0024675,            0.003961,            0.003961,            0.003961
                  63,            0.053859,           0.0072131,           0.0014742,             0.83887,             0.83526,             0.87022,             0.30273,            0.057854,           0.0067311,           0.0023497,            0.003862,            0.003862,            0.003862
                  64,            0.053745,           0.0069223,            0.001974,              0.8033,             0.87051,             0.86908,             0.32082,            0.056736,           0.0067289,           0.0024317,            0.003763,            0.003763,            0.003763
                  65,            0.049242,           0.0078935,           0.0016907,             0.67565,             0.83221,             0.78107,             0.30078,            0.060491,           0.0068961,           0.0026951,            0.003664,            0.003664,            0.003664
                  66,            0.048996,           0.0070822,           0.0018532,             0.82192,             0.85612,             0.85134,             0.31624,            0.056681,           0.0067522,           0.0026781,            0.003565,            0.003565,            0.003565
                  67,            0.050869,           0.0073471,           0.0024348,             0.81483,               0.833,             0.85072,             0.31791,            0.055412,           0.0065173,           0.0026557,            0.003466,            0.003466,            0.003466
                  68,            0.049055,           0.0071655,           0.0017057,             0.82193,             0.86631,             0.83281,             0.33025,            0.057057,           0.0066808,           0.0024888,            0.003367,            0.003367,            0.003367
                  69,            0.051469,           0.0076889,           0.0014309,             0.86695,             0.90306,             0.87207,             0.35398,            0.051436,           0.0066083,            0.002434,            0.003268,            0.003268,            0.003268
                  70,            0.051404,           0.0075828,           0.0015277,             0.83409,             0.90198,              0.8739,              0.3324,            0.049787,           0.0065218,           0.0024135,            0.003169,            0.003169,            0.003169
                  71,            0.049044,            0.007322,           0.0049592,             0.78343,             0.87363,             0.85235,             0.31432,            0.047599,           0.0064336,            0.002387,             0.00307,             0.00307,             0.00307
                  72,            0.048814,            0.007109,           0.0014558,             0.79385,             0.85572,              0.8493,             0.29611,            0.049098,           0.0063481,            0.002441,            0.002971,            0.002971,            0.002971
                  73,            0.049114,           0.0069531,           0.0015673,             0.86192,             0.80562,             0.87004,             0.32889,            0.050547,            0.006486,           0.0025387,            0.002872,            0.002872,            0.002872
                  74,            0.046749,           0.0067225,            0.001521,             0.87375,             0.89343,             0.89455,             0.35982,            0.053001,           0.0064448,           0.0025846,            0.002773,            0.002773,            0.002773
                  75,            0.046881,           0.0073875,           0.0017495,             0.86545,              0.9242,             0.90563,             0.33335,            0.049989,           0.0064851,           0.0025135,            0.002674,            0.002674,            0.002674
                  76,            0.044577,           0.0073223,            0.001118,             0.84823,             0.88028,             0.88276,             0.32691,            0.052776,           0.0064022,           0.0024598,            0.002575,            0.002575,            0.002575
                  77,             0.04576,           0.0072429,           0.0015149,             0.82005,             0.89665,             0.88337,             0.33758,            0.051332,           0.0063845,           0.0024188,            0.002476,            0.002476,            0.002476
                  78,            0.043695,            0.006734,           0.0013024,             0.87884,             0.92553,             0.91739,             0.37955,            0.049991,           0.0063775,           0.0024437,            0.002377,            0.002377,            0.002377
                  79,            0.044218,           0.0068111,           0.0018558,             0.85341,             0.85689,             0.88982,             0.38622,            0.052156,           0.0063885,           0.0024362,            0.002278,            0.002278,            0.002278
                  80,            0.043827,           0.0069657,           0.0013042,             0.84404,             0.86265,             0.89061,             0.35486,            0.052031,           0.0064592,           0.0024413,            0.002179,            0.002179,            0.002179
                  81,            0.043504,           0.0066203,           0.0012185,             0.84764,             0.91528,             0.90743,             0.38107,            0.050318,           0.0065437,           0.0024565,             0.00208,             0.00208,             0.00208
                  82,            0.043515,           0.0071774,           0.0016698,              0.8193,             0.86671,             0.86745,             0.35665,            0.050971,           0.0064744,           0.0024801,            0.001981,            0.001981,            0.001981
                  83,            0.042402,           0.0075501,           0.0013949,              0.8178,             0.87295,             0.86375,             0.36028,            0.051728,            0.006355,           0.0023816,            0.001882,            0.001882,            0.001882
                  84,            0.041939,           0.0067355,           0.0013758,             0.85347,             0.91378,              0.9176,             0.36973,            0.051951,           0.0063935,           0.0023674,            0.001783,            0.001783,            0.001783
                  85,            0.042474,            0.006736,           0.0014412,             0.85112,             0.92332,             0.91924,             0.36124,            0.050273,           0.0063858,           0.0023489,            0.001684,            0.001684,            0.001684
                  86,             0.04327,           0.0068823,          0.00090911,             0.83332,             0.82656,             0.88016,             0.35958,            0.051623,           0.0063935,           0.0023353,            0.001585,            0.001585,            0.001585
                  87,            0.040893,           0.0068636,          0.00079777,             0.86481,             0.86463,             0.88144,             0.35094,            0.051299,           0.0064053,           0.0023367,            0.001486,            0.001486,            0.001486
                  88,            0.041578,           0.0073461,           0.0010228,             0.87112,             0.91629,             0.91107,             0.38133,            0.049619,           0.0063584,           0.0022806,            0.001387,            0.001387,            0.001387
                  89,            0.039394,           0.0063798,           0.0010458,             0.84584,             0.91687,             0.91787,             0.34217,            0.049738,           0.0063258,            0.002222,            0.001288,            0.001288,            0.001288
                  90,            0.040185,            0.007076,           0.0010352,             0.86611,             0.89244,             0.91138,             0.34175,            0.049169,           0.0063469,           0.0021889,            0.001189,            0.001189,            0.001189
                  91,            0.039566,           0.0061443,           0.0013228,             0.85472,             0.93789,             0.92065,             0.38513,            0.049063,           0.0063624,            0.002178,             0.00109,             0.00109,             0.00109
                  92,            0.038603,           0.0067416,          0.00071434,              0.8639,             0.89297,             0.91199,             0.38165,            0.049705,           0.0064011,           0.0021793,            0.000991,            0.000991,            0.000991
                  93,             0.03966,           0.0071766,          0.00071508,             0.83965,             0.87964,             0.89811,             0.37991,            0.050461,           0.0064342,           0.0021876,            0.000892,            0.000892,            0.000892
                  94,            0.038372,            0.006226,          0.00091941,             0.82568,             0.91326,             0.87367,              0.3605,            0.051115,           0.0064654,           0.0021994,            0.000793,            0.000793,            0.000793
                  95,            0.039657,           0.0070346,            0.000845,             0.81633,             0.90797,             0.87392,             0.38484,             0.04942,           0.0064407,           0.0022198,            0.000694,            0.000694,            0.000694
                  96,            0.039407,            0.006573,           0.0015676,             0.84502,             0.92312,             0.91161,             0.38434,            0.049941,            0.006406,           0.0022289,            0.000595,            0.000595,            0.000595
                  97,            0.037966,           0.0064819,          0.00060481,             0.84446,             0.90905,             0.91324,             0.37855,            0.050661,           0.0064922,           0.0022343,            0.000496,            0.000496,            0.000496
                  98,            0.037798,           0.0064431,          0.00060607,             0.84187,             0.88099,             0.87798,             0.37754,             0.05082,           0.0065462,           0.0022293,            0.000397,            0.000397,            0.000397
                  99,            0.038761,           0.0070599,           0.0011518,             0.85032,              0.8909,              0.8801,              0.3687,            0.050555,           0.0065446,           0.0022241,            0.000298,            0.000298,            0.000298
